timetocompletesurvey,Pseudonym,Geschlecht,Alter,Familienstand,Kinder,AnzahlKinder,keins,ImChoraktiv,PrivaterMusikunterricht,Stdgehört7TageHerkömmli,Stdgehört7TagePhysische,Stdgehört7TageAufIhren,Stdgehört7TageKostenlos,Stdgehört7Tagekostenpfl,Stdgehört7TageOnlineRa,Stdgehört7TageLiveMusi,WennichMusikhöremacheichni,AktiveSuchenachneuerMusik,Musikistmirimmeretwaswert,CDAlbenAusgaben30Tage,CDSinglesAusgaben30Tage,MusikDVDsBluRaysAusgaben3,VinylAlbenAusgaben30Tage,KostenpflichtigedigitaleAlbum,KostenpflichtigedigitaleTrack,DigitaleMusikAboServicesPau,SonstigedigitaleMusikAboServ,Warumamhäufigstengekauft,datetimeofsurveystart,dateoflastaccess,panel,Bildung,Beschäftigung,Haushaltseinkommen,No_Mainstream_7Likert,KonzerteLiveMusikEventsAus,FestivalsLiveMusikEventsAu,ClubKonzerteLiveMusikEvents,DeluxeBoxenMusikproduktMer,Livestream_WTP
2966,3582567315520,männlich,41,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Nein,40,0,10,0,10,10,0,2,Ja,5,0,0,0,15,0,0,10,0,Atmosphäre,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,6,70,0,0,0,
998,3569681339600,männlich,44,allein lebend,ja,1,not quoted,Nein,Ja,0,0,0,0,0,0,0,1,Nein,7,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Hauptschulabschluss,Sonstiges,501 Euro bis 1.000 Euro,1,0,0,0,0,
690,3695372227840,weiblich,31,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Nein,2,1,0,3,0,0,1,5,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,2,0,0,0,0,
783,3373306627520,männlich,35,allein lebend,nein,,quoted,Nein,Nein,40,1,7,0,40,4,0,3,Nein,5,0,0,0,0,10,9,10,0,Flexibilität,2019-01-29,2019-01-29,2,Fachhochschulreife,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
929,3651358835680,weiblich,41,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,8,0,1,1,0,0,0,1,Nein,5,0,0,0,0,0,2,0,0,Flexibilität,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Selbständige/r,1.501 Euro bis 2.000 Euro,4,25,0,0,0,
786,3827577971600,weiblich,48,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,24,14,7,0,0,10,3,4,Ja,6,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,5,0,0,0,0,
1079,3699908283280,männlich,55,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,12,0,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Hauptschulabschluss,ohne Beschäftigung,2.501 Euro bis 3.000 Euro,2,0,0,0,0,
1251,3749075923600,weiblich,46,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,8,20,0,0,0,0,1,3,Nein,7,0,0,0,80,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Selbständige/r,2.501 Euro bis 3.000 Euro,5,0,0,0,0,
1688,3890138987600,männlich,40,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,25,0,50,0,0,0,0,1,Ja,7,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,6,0,0,0,0,
1072,3651996315360,männlich,33,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,6,1,0,0,0,0,0,2,Nein,5,30,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
1174,3888264395280,männlich,35,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,15,0,30,0,30,40,0,1,Ja,7,55,0,0,0,0,0,25,0,Soundqualität,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Selbständige/r,4.001 Euro bis 4.500 Euro,6,0,0,0,35,
1045,3619399155200,männlich,54,allein lebend,nein,,quoted,Nein,Nein,3,2,10,0,0,5,0,2,Nein,6,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Sonstiges,1.501 Euro bis 2.000 Euro,5,0,0,0,0,
429,3984386531600,männlich,58,allein lebend,nein,,quoted,Nein,Nein,1,0,0,0,0,0,0,2,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,
1395,3730348083440,weiblich,56,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,7,0,0,0,0,6,0,1,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,4,0,0,0,0,
889,3350441075920,weiblich,64,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,5,2,3,0,0,0,0,2,Nein,4,0,0,0,0,0,0,0,0,Flexibilität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,4.501 Euro bis 5.000 Euro,4,0,0,0,0,
508,3243027123440,männlich,35,allein lebend,nein,,quoted,Nein,Nein,8,0,5,0,8,2,0,6,Ja,6,0,0,0,0,0,0,0,0,Mobilität,2019-01-29,2019-01-29,2,Bachelor,Angestellte/r,3.501 Euro bis 4.000 Euro,3,0,0,0,0,
1395,3486371675440,weiblich,34,allein lebend,nein,,quoted,Nein,Nein,9,5,3,5,6,0,0,5,Ja,4,10,0,15,0,0,0,8,0,Gewohnheit,2019-01-29,2019-01-29,2,Hauptschulabschluss,ohne Beschäftigung,weniger als 500 Euro,3,0,0,0,0,
459,3483244723520,männlich,21,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Ja,5,1,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,7,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Abitur,Studierende/r,weniger als 500 Euro,2,0,0,0,0,
672,3646436523920,männlich,30,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,4,0,0,2,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,2,0,0,0,0,
889,3664519507360,weiblich,70,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Ja,Ja,0,0,0,0,0,0,2,7,Nein,5,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Bachelor,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,7,0,0,0,0,
664,3409659379760,weiblich,39,allein lebend,ja,1,quoted,Nein,Nein,0,0,2,0,0,0,0,2,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Hauptschulabschluss,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,5,0,0,0,0,
607,3836260771920,weiblich,51,allein lebend,nein,,quoted,Nein,Nein,0,15,1,0,0,0,0,1,Nein,5,40,0,0,0,0,0,0,0,Soundqualität,2019-01-29,2019-01-29,2,Hauptschulabschluss,ohne Beschäftigung,weniger als 500 Euro,6,0,0,0,0,
1494,3455622411280,weiblich,46,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,25,1,0,1,0,0,3,1,Ja,7,5,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.001 Euro bis 3.500 Euro,4,80,0,0,0,
674,3371804523200,männlich,34,allein lebend,nein,,quoted,Nein,Nein,2,0,0,2,0,0,0,4,Nein,4,30,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,2,0,0,0,0,
982,3973876875600,weiblich,60,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,3,0,0,0,0,1,0,1,Nein,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Bachelor,Angestellte/r,mehr als 5.000 Euro,7,75,0,0,0,
1081,3503716203440,männlich,52,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,7,0,2,0,0,0,0,5,Ja,5,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Bachelor,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
1051,3422857267920,männlich,68,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,6,0,0,0,0,0,0,1,Nein,6,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,ohne Beschäftigung,3.001 Euro bis 3.500 Euro,6,0,0,0,0,
632,3256950579440,männlich,59,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,18,5,0,0,0,0,0,1,Ja,5,0,0,25,0,0,0,0,0,Soundqualität,2019-01-29,2019-01-29,2,Bachelor,Angestellte/r,1.501 Euro bis 2.000 Euro,5,0,0,0,0,
567,3580799411520,weiblich,56,allein lebend,ja,1,not quoted,Nein,Nein,3,1,0,0,0,0,0,4,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Sonstiges,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
-1,3241395795680,weiblich,19,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,4,0,2,0,8,0,0,4,Nein,6,0,0,0,0,0,0,10,0,Soundqualität,2019-01-29,2019-01-29,2,Fachhochschulreife,Schüler/in,weniger als 500 Euro,2,0,0,0,0,
553,3451609099520,männlich,44,allein lebend,nein,,quoted,Nein,Nein,1,0,0,0,0,0,0,2,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Hauptschulabschluss,ohne Beschäftigung,weniger als 500 Euro,4,0,0,0,0,
992,3404207011920,weiblich,56,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,3,20,2,0,0,0,0,4,Ja,7,15,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,5,0,0,0,0,
648,3727402131600,weiblich,52,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,7,0,0,0,0,0,0,2,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
925,3940456403840,männlich,34,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Nein,7,3,4,0,4,1,0,5,Ja,6,0,15,0,0,20,10,25,0,Soundqualität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,3,0,0,0,0,
941,3375838075360,männlich,54,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Nein,30,3,5,2,2,5,0,1,Nein,6,30,0,0,0,10,0,10,0,Gewohnheit,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,6,0,0,0,0,
2595,3829190731520,männlich,27,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,5,0,0,0,0,2,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
1399,3731850971520,männlich,50,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,1,0,5,15,0,0,0,4,Nein,5,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Hauptschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,2,0,0,0,0,
2104,3432423107200,männlich,54,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,36,10,50,2,0,0,0,6,Ja,5,20,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Fachhochschulreife,ohne Beschäftigung,1.501 Euro bis 2.000 Euro,5,0,0,0,0,
490,3563367635680,weiblich,25,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,4,0,1,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,Flexibilität,2019-01-29,2019-01-29,2,Fachhochschulreife,Auszubildende/r,2.001 Euro bis 2.500 Euro,2,0,0,0,0,
634,3856604539360,weiblich,46,allein lebend,nein,,quoted,Nein,Nein,25,0,0,0,0,0,0,1,Nein,1,,,,,,,,,Atmosphäre,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,1,300,,,,
957,3404154427280,weiblich,45,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,10,5,1,0,20,0,2,5,Ja,7,20,0,0,30,0,0,15,0,Soundqualität,2019-01-29,2019-01-29,2,Promotion,Angestellte/r,2.001 Euro bis 2.500 Euro,6,0,0,0,0,
918,3585799355920,weiblich,49,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,0,0,1,0,0,0,0,1,Ja,5,0,0,0,0,0,2,0,0,Flexibilität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,5,0,0,0,0,
989,3487969883280,männlich,56,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Nein,4,15,10,0,0,0,2,4,Nein,4,15,0,20,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Abitur,Selbständige/r,2.501 Euro bis 3.000 Euro,5,0,,0,0,
1734,3731606995920,weiblich,58,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,45,5,25,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Hauptschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
1299,3325870555440,männlich,34,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,3,0,4,2,2,1,3,2,Nein,6,0,0,0,0,25,10,0,0,Soundqualität,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.501 Euro bis 4.000 Euro,4,50,0,0,0,
824,3270600171920,männlich,36,allein lebend,nein,,quoted,Nein,Nein,0,2,20,5,0,0,2,6,Nein,2,10,0,0,0,0,0,0,0,Soundqualität,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Selbständige/r,3.501 Euro bis 4.000 Euro,3,80,0,0,0,
405,3615118427760,männlich,36,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Ja,2,0,9,0,6,0,0,1,Nein,1,0,0,0,0,0,0,7,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Fachhochschulreife,ohne Beschäftigung,501 Euro bis 1.000 Euro,2,0,0,0,0,
1886,3244523555600,weiblich,31,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,3,0,0,0,0,0,0,1,Nein,4,20,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.001 Euro bis 2.500 Euro,1,0,0,0,0,
-1,3455016427440,männlich,28,allein lebend,nein,,quoted,Nein,Nein,15,2,0,0,0,5,0,2,Nein,2,10,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,3.501 Euro bis 4.000 Euro,4,0,0,0,0,
1245,3375960115680,männlich,39,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,21,5,5,0,3,0,0,4,Ja,4,30,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,3.001 Euro bis 3.500 Euro,4,0,0,0,0,
999,3970239243440,männlich,43,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Nein,10,10,10,10,10,10,0,4,Ja,7,10,10,10,10,10,10,10,10,Soundqualität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,3.001 Euro bis 3.500 Euro,4,10,10,10,10,
1061,3256835843440,weiblich,50,allein lebend,nein,,quoted,Nein,Nein,20,10,0,0,0,0,0,1,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,
933,3260178563680,männlich,52,in einer festen Partnerschaft zusammenlebend,ja,3,not quoted,Ja,Ja,10,0,5,0,10,0,2,1,Nein,7,0,0,0,0,50,0,10,0,Flexibilität,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
846,3566871139840,männlich,52,allein lebend,ja,1,quoted,Nein,Nein,0,1,10,0,0,12,0,3,Ja,4,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Sonstiges,1.501 Euro bis 2.000 Euro,5,60,0,0,0,
764,3747406555200,männlich,50,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,180,0,0,0,0,30,0,3,Nein,4,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
441,3827243483840,weiblich,35,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,0,0,0,0,0,1,Nein,5,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Hauptschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,
642,3288679915280,männlich,55,allein lebend,nein,,not quoted,Nein,Nein,4,0,0,0,0,0,0,2,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,
497,4022924899600,weiblich,63,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,50,2,0,0,0,0,0,2,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
842,3327657835280,männlich,42,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,0,0,0,20,5,0,3,Ja,4,0,0,0,0,0,0,20,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,6,0,0,0,0,
798,3747405779520,männlich,45,allein lebend,nein,,not quoted,Ja,Ja,0,2,0,0,0,0,1,5,Ja,5,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Promotion,Angestellte/r,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
-1,3937567755360,männlich,42,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,5,2,1,0,0,20,0,1,Nein,5,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Fachhochschulreife,Angestellte/r,2.501 Euro bis 3.000 Euro,5,0,0,0,0,
480,3811646635600,männlich,20,allein lebend UND in einer festen Partnerschaft,nein,,not quoted,Nein,Ja,5,0,10,0,20,0,1,3,Ja,4,0,0,0,0,,0,5,0,Gewohnheit,2019-01-29,2019-01-29,2,Abitur,Studierende/r,1.001 Euro bis 1.500 Euro,4,20,0,0,0,
1183,4022941027280,männlich,44,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,14,5,0,0,10,1,0,5,Ja,5,0,0,0,0,0,0,10,0,Flexibilität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,
1045,3270886147360,weiblich,52,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,14,2,2,0,0,0,1,2,Nein,3,0,0,0,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Fachhochschulreife,Angestellte/r,501 Euro bis 1.000 Euro,3,0,0,0,0,
751,3751722115520,männlich,35,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,70,0,0,0,2,0,0,2,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,4.001 Euro bis 4.500 Euro,2,0,0,0,0,
912,3650286579280,weiblich,54,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,1,0,0,0,0,0,0,1,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,weniger als 500 Euro,2,0,0,0,0,
600,3756470763840,männlich,38,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,10,0,2,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.501 Euro bis 4.000 Euro,5,0,0,0,0,
