"timetocompletesurvey","Pseudonym","gender","Age","Familienstand","Children","AnzahlKinder","NoInstrument","ImChoraktiv","PrivaterMusikunterricht","ConsumptionRadio","ConsumptionPhysical","ConsumptionDigital","ConsumptionFreeStreaming","ConsumptionPremiumStreaming","ConsumptionOnlineRadio","ConsumptionLive","ActiveListening","AktiveSuchenachneuerMusik","MusicAppreciation","Spending_CD_Albums","Spending_CD_Singles","Spending_Music_DVD","Spending_Vinyl","Spending_DigitaleAlbums","Spending_DigitalTracks","Spending_Stream","Spending_OtherAbos","Warumamhäufigstengekauft","datetimeofsurveystart","dateoflastaccess","panel","Bildung","Beschäftigung","IncomeRaw","No_Mainstream_7Likert","Spending_Concerts","Spending_Festivals","Spending_ClubConcerts","Spending_DeluxeBoxes","Livestream_WTP","Winter2018_19","Summer2019","Winter2019_20","Summer2020","Winter2020_21","Consumption_Live","Consumption_Rec","s_Consumption_Physical_R","s_Consumption_PremiumStream_R","s_Consumption_FreeStream_R","s_Consumption_Digital_R","s_Consumption_Radio_R","s_Consumption_OnlineRadio_R","s_Consumption_R","s_No_Consumption_R","Consumption_Total","No_Consumption","ln_Consumption_Total","ln_Consumption_Rec","ln_Consumption_Live","Outlier_Consumption","Outlier_Consumption_Panel","Spending_Physical","Spending_Digital","Spending_Streaming","Spending_Rec","Spending_Live","s_Spending_Physical_R","s_Spending_Digital_R","s_Spending_Streaming_R","Spending_Total","No_Spending","ln_Spending_Total","ln_Spending_Rec","ln_Spending_Live","s_Spending_R","s_No_Spending_R","Outlier_Spending","Outlier_Spending_Panel","Corona","Summer","Winter","PurchaseReason_Atmosphere","PurchaseReason_Flexibility","PurchaseReason_Habit","PurchaseReason_None","PurchaseReason_Mobility","PurchaseReason_Other","PurchaseReason_SoundQuality","MaritalStat_LivAlone","MaritalStat_LivAlone_Partner","MaritalStat_LivTogether_Partner","MaritalStatus","Education_HighSchool","Education_Bachelor","Education_TechnicalDiploma","Education_Elementary","Education_NoneDegree","Education_Master","Education_MiddleSchool","Education_PhD","Education","GenderOther","GenderMale","GenderFemale","Occupation_Employed","Occupation_Apprenticeship","Occupation_Household","Occupation_None","Occupation_School","Occupation_Selfemployed","Occupation_Other","Occupation_University","Occupation","MainstreamMusic","Playinstrument","MusicEducation","Income","Income_Mean","IncomeImputation","ln_Income","MusicAppreciation_Mean","MusicAppreciationImputation","Outlier_Missing","Outlier_Missing_Panel","Number_Waves"
1072,3651996315360,"männlich",33,"in einer festen Partnerschaft zusammenlebend",1,1,1,0,1,6,1,0,0,0,0,0,2,"Nein",5,30,0,0,0,0,0,0,0,"Atmosphäre","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","1.501 Euro bis 2.000 Euro",2,0,0,0,0,0,1,0,0,0,0,0,7,0.142857142857143,0,0,0,0.857142857142857,0,1,0,7,0,2.07944154167984,2.07944154167984,0,0,0,30,0,0,30,0,1,0,0,30,0,3.43398720448515,3.43398720448515,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,6,0,1,1750,1750,1750,7.46737106691756,4.4,5,0,0,5
1045,3619399155200,"männlich",54,"allein lebend",0,0,1,0,0,3,2,10,0,0,5,0,2,"Nein",6,0,0,0,0,0,0,0,0,"Gewohnheit","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Sonstiges","1.501 Euro bis 2.000 Euro",5,0,0,0,0,0,1,0,0,0,0,0,20,0.1,0,0,0.5,0.15,0.25,1,0,20,0,3.04452243772342,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4,3,0,0,1750,1750,1750,7.46737106691756,5.8,6,0,0,5
889,3350441075920,"weiblich",64,"in einer festen Partnerschaft zusammenlebend",0,0,1,0,0,5,2,3,0,0,0,0,2,"Nein",4,0,0,0,0,0,0,0,0,"Flexibilität","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","4.501 Euro bis 5.000 Euro",4,0,0,0,0,0,1,0,0,0,0,0,10,0.2,0,0,0.3,0.5,0,1,0,10,0,2.39789527279837,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,3,4,0,0,4750,3050,4750,8.46589989702869,4.4,4,0,0,5
607,3836260771920,"weiblich",51,"allein lebend",0,0,1,0,0,0,15,1,0,0,0,0,1,"Nein",5,40,0,0,0,0,0,0,0,"Soundqualität","2019-01-29","2019-01-29",2,"Hauptschulabschluss","ohne Beschäftigung","weniger als 500 Euro",6,0,0,0,0,0,1,0,0,0,0,0,16,0.9375,0,0,0.0625,0,0,1,0,16,0,2.83321334405622,2.83321334405622,0,0,0,40,0,0,40,0,1,0,0,40,0,3.71357206670431,3.71357206670431,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,250,250,250,5.52146091786225,6.2,5,0,0,5
632,3256950579440,"männlich",59,"allein lebend UND in einer festen Partnerschaft",1,1,1,0,0,18,5,0,0,0,0,0,1,"Ja",5,0,0,25,0,0,0,0,0,"Soundqualität","2019-01-29","2019-01-29",2,"Bachelor","Angestellte/r","1.501 Euro bis 2.000 Euro",5,0,0,0,0,0,1,0,0,0,0,0,23,0.217391304347826,0,0,0,0.782608695652174,0,1,0,23,0,3.17805383034795,3.17805383034795,0,0,0,25,0,0,25,0,1,0,0,25,0,3.25809653802148,3.25809653802148,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1750,1750,1750,7.46737106691756,5.2,5,0,0,5
567,3580799411520,"weiblich",56,"allein lebend",1,1,0,0,0,3,1,0,0,0,0,0,4,"Nein",5,0,0,0,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Sonstiges","1.501 Euro bis 2.000 Euro",6,0,0,0,0,0,1,0,0,0,0,0,4,0.25,0,0,0,0.75,0,1,0,4,0,1.6094379124341,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,4,2,1,1,1750,1750,1750,7.46737106691756,4.6,5,0,0,5
992,3404207011920,"weiblich",56,"in einer festen Partnerschaft zusammenlebend",1,1,0,0,1,3,20,2,0,0,0,0,4,"Ja",7,15,0,0,0,0,0,0,0,"Gewohnheit","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Hausmann / Hausfrau","501 Euro bis 1.000 Euro",5,0,0,0,0,0,1,0,0,0,0,0,25,0.8,0,0,0.08,0.12,0,1,0,25,0,3.25809653802148,3.25809653802148,0,0,0,15,0,0,15,0,1,0,0,15,0,2.77258872223978,2.77258872223978,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,750,750,750,6.62007320653036,6,7,0,0,5
925,3940456403840,"männlich",34,"in einer festen Partnerschaft zusammenlebend",1,2,0,0,0,7,3,4,0,4,1,0,5,"Ja",6,0,15,0,0,20,10,25,0,"Soundqualität","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","2.501 Euro bis 3.000 Euro",3,0,0,0,0,0,1,0,0,0,0,0,19,0.157894736842105,0.210526315789474,0,0.210526315789474,0.368421052631579,0.0526315789473684,1,0,19,0,2.99573227355399,2.99573227355399,0,0,0,15,30,25,70,0,0.214285714285714,0.428571428571429,0.357142857142857,70,0,4.26267987704132,4.26267987704132,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,5,1,1,2750,2850,2750,7.91935619066062,5.6,6,0,0,5
1399,3731850971520,"männlich",50,"in einer festen Partnerschaft zusammenlebend",0,0,1,0,0,1,0,5,15,0,0,0,4,"Nein",5,0,0,0,0,0,0,0,0,"ich kaufe keine Musik","2019-01-29","2019-01-29",2,"Hauptschulabschluss","Angestellte/r","2.001 Euro bis 2.500 Euro",2,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0.714285714285714,0.238095238095238,0.0476190476190476,0,1,0,21,0,3.09104245335832,3.09104245335832,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,6,0,0,2250,2750,2250,7.71868549519847,3.4,5,0,0,5
918,3585799355920,"weiblich",49,"allein lebend UND in einer festen Partnerschaft",1,1,1,0,0,0,0,1,0,0,0,0,1,"Ja",5,0,0,0,0,0,2,0,0,"Flexibilität","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","ohne Beschäftigung","501 Euro bis 1.000 Euro",5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.693147180559945,0.693147180559945,0,0,0,0,2,0,2,0,0,1,0,2,0,1.09861228866811,1.09861228866811,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,750,750,750,6.62007320653036,4.6,5,0,0,5
989,3487969883280,"männlich",56,"in einer festen Partnerschaft zusammenlebend",0,0,0,0,0,4,15,10,0,0,0,2,4,"Nein",4,15,0,20,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Abitur","Selbständige/r","2.501 Euro bis 3.000 Euro",5,0,0,0,0,0,1,0,0,0,0,2,29,0.517241379310345,0,0,0.344827586206897,0.137931034482759,0,1,0,31,0,3.46573590279973,3.40119738166216,1.09861228866811,0,0,35,0,0,35,0,1,0,0,35,0,3.58351893845611,3.58351893845611,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,3,1,1,2750,3850,2750,7.91935619066062,5.4,4,0,0,5
1299,3325870555440,"männlich",34,"in einer festen Partnerschaft zusammenlebend",0,0,1,0,0,3,0,4,2,2,1,3,2,"Nein",6,0,0,0,0,25,10,0,0,"Soundqualität","2019-01-29","2019-01-29",2,"Master / Diplom / Magister / Staatsexamen","Angestellte/r","3.501 Euro bis 4.000 Euro",4,50,0,0,0,0,1,0,0,0,0,3,12,0,0.166666666666667,0.166666666666667,0.333333333333333,0.25,0.0833333333333333,1,0,15,0,2.77258872223978,2.56494935746154,1.38629436111989,0,0,0,35,0,35,50,0,1,0,85,0,4.45434729625351,3.58351893845611,3.93182563272433,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,4,0,0,3750,3750,3750,8.22951111896446,5.8,6,0,0,5
1886,3244523555600,"weiblich",31,"in einer festen Partnerschaft zusammenlebend",1,1,1,0,1,3,0,0,0,0,0,0,1,"Nein",4,20,0,0,0,0,0,0,0,"Gewohnheit","2019-01-29","2019-01-29",2,"Master / Diplom / Magister / Staatsexamen","Angestellte/r","2.001 Euro bis 2.500 Euro",1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,3,0,1.38629436111989,1.38629436111989,0,0,0,20,0,0,20,0,1,0,0,20,0,3.04452243772342,3.04452243772342,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,7,0,1,2250,1850,2250,7.71868549519847,2.6,4,0,0,5
-1,3455016427440,"männlich",28,"allein lebend",0,0,1,0,0,15,2,0,0,0,5,0,2,"Nein",2,10,0,0,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Abitur","Angestellte/r","3.501 Euro bis 4.000 Euro",4,0,0,0,0,0,1,0,0,0,0,0,22,0.0909090909090909,0,0,0,0.681818181818182,0.227272727272727,1,0,22,0,3.13549421592915,3.13549421592915,0,0,0,10,0,0,10,0,1,0,0,10,0,2.39789527279837,2.39789527279837,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,4,0,0,3750,2150,3750,8.22951111896446,2.4,2,0,0,5
846,3566871139840,"männlich",52,"allein lebend",1,1,1,0,0,0,1,10,0,0,12,0,3,"Ja",4,0,0,0,0,0,0,0,0,"Atmosphäre","2019-01-29","2019-01-29",2,"Master / Diplom / Magister / Staatsexamen","Sonstiges","1.501 Euro bis 2.000 Euro",5,60,0,0,0,0,1,0,0,0,0,0,23,0.0434782608695652,0,0,0.434782608695652,0,0.521739130434783,1,0,23,0,3.17805383034795,3.17805383034795,0,0,0,0,0,0,0,60,0,0,0,60,0,4.11087386417331,0,4.11087386417331,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,4,3,0,0,1750,1750,1750,7.46737106691756,3.6,4,0,0,5
497,4022924899600,"weiblich",63,"in einer festen Partnerschaft zusammenlebend",0,0,1,0,0,50,2,0,0,0,0,0,2,"Nein",5,0,0,0,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","2.001 Euro bis 2.500 Euro",4,0,0,0,0,0,1,0,0,0,0,0,52,0.0384615384615385,0,0,0,0.961538461538462,0,1,0,52,0,3.97029191355212,3.97029191355212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,3,4,0,0,2250,2650,2250,7.71868549519847,3.4,5,0,0,5
842,3327657835280,"männlich",42,"in einer festen Partnerschaft zusammenlebend",1,2,1,0,0,1,0,0,0,20,5,0,3,"Ja",4,0,0,0,0,0,0,20,0,"ich kaufe keine Musik","2019-01-29","2019-01-29",2,"Master / Diplom / Magister / Staatsexamen","Angestellte/r","2.501 Euro bis 3.000 Euro",6,0,0,0,0,0,1,0,0,0,0,0,26,0,0.769230769230769,0,0,0.0384615384615385,0.192307692307692,1,0,26,0,3.29583686600433,3.29583686600433,0,0,0,0,0,20,20,0,0,0,1,20,0,3.04452243772342,3.04452243772342,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,2750,2750,2750,7.91935619066062,3.8,4,0,0,5
1183,4022941027280,"männlich",44,"in einer festen Partnerschaft zusammenlebend",0,0,0,1,1,14,5,0,0,10,1,0,5,"Ja",5,0,0,0,0,0,0,10,0,"Flexibilität","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","1.001 Euro bis 1.500 Euro",4,0,0,0,0,0,1,0,0,0,0,0,30,0.166666666666667,0.333333333333333,0,0,0.466666666666667,0.0333333333333333,1,0,30,0,3.43398720448515,3.43398720448515,0,0,0,0,0,10,10,0,0,0,1,10,0,2.39789527279837,2.39789527279837,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,4,1,2,1250,850,1250,7.13089883029635,6,5,0,0,5
1019,3732901387680,"weiblich",64,"allein lebend UND in einer festen Partnerschaft",0,0,1,0,0,5,2,0,0,0,0,0,2,"Nein",6,0,0,0,0,0,0,0,0,"Sonstiges","2019-01-30","2019-01-30",2,"Mittlere Reife / Realschulabschluss","Sonstiges","1.501 Euro bis 2.000 Euro",4,20,0,0,0,0,1,0,0,0,0,0,7,0.285714285714286,0,0,0,0.714285714285714,0,1,0,7,0,2.07944154167984,2.07944154167984,0,0,0,0,0,0,0,20,0,0,0,20,0,3.04452243772342,0,3.04452243772342,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,4,4,0,0,1750,2150,1750,7.46737106691756,5.4,6,0,0,5
883,3987714683600,"männlich",55,"in einer festen Partnerschaft zusammenlebend",1,2,1,0,0,21,7,6,2,3,14,2,6,"Ja",7,50,30,60,0,20,20,15,15,"Soundqualität","2019-01-30","2019-01-30",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","2.001 Euro bis 2.500 Euro",2,0,0,0,0,0,1,0,0,0,0,2,53,0.132075471698113,0.0566037735849057,0.0377358490566038,0.113207547169811,0.39622641509434,0.264150943396226,1,0,55,0,4.02535169073515,3.98898404656427,1.09861228866811,0,0,140,40,30,210,0,0.666666666666667,0.19047619047619,0.142857142857143,210,0,5.35185813347607,5.35185813347607,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,6,0,0,2250,1650,2250,7.71868549519847,7,7,0,0,5
